UNI_ST_UNIDADE,PRO_ST_DEFITEM,PRO_IN_CODIGO,PRO_ST_DESCRICAO,GRU_IDE_ST_CODIGO
UN,MT,4425,"BRAÇADEIRA PARA FIXAÇÃO DE SINALIZADOR EM TUBOS DE 1/2"" OU 2""",15
UN,MT,4426,CAPTOR FRANKLIN DE LATÃO (350 MM / CROMADO),15
UN,MT,4427,CAIXA DE INSPEÇÃO FIO TERRA PARA PÁRA-RAIOS SUSPENSA FOFO CILINDRICA,15
UN,MT,4428,"CONECTOR DE AÇO PARA HASTE TERRA (3/4 "" / CROMADO)",15
UN,MT,4429,"CONJUNTO DE ESTAIAMENTO PARA PÁRA-RAIOS (1 1/2 "" / GALVANIZADO A FOGO)",15
UN,MT,4430,"HASTE DE ATERRAMENTO COPPERWELD (3,0 M / 3/4 "")",15
M3,MT,3805,"CONCRETO DOSADO EM CENTRAL CONVENCIONAL BRITA 1 E 2 (45,0 MPA)",15
M3,MT,3806,"CONCRETO DOSADO EM CENTRAL CONVENCIONAL BRITA 1 E 2 (15,0 MPA)",15
M3,MT,3807,"CONCRETO DOSADO EM CENTRAL CONVENCIONAL BRITA 1 E 2 (18,0 MPA)",15
M3,MT,3808,"CONCRETO DOSADO EM CENTRAL CONVENCIONAL BRITA 1 E 2 (20,0 MPA)",15
M3,MT,3809,"CONCRETO DOSADO EM CENTRAL CONVENCIONAL BRITA 1 E 2 (10,0 MPA)",15
M3,MT,3810,"CONCRETO DOSADO EM CENTRAL CONVENCIONAL BRITA 1 E 2 (25,0 MPA)",15
M3,MT,3811,"CONCRETO DOSADO EM CENTRAL CONVENCIONAL BRITA 1 E 2 (30,0 MPA)",15
M3,MT,3812,"CONCRETO DOSADO EM CENTRAL CONVENCIONAL BRITA 1 E 2 (35,0 MPA)",15
M3,MT,3813,"CONCRETO DOSADO EM CENTRAL DE ALTO DESEMPENHO, A/C 0,4 (50,0 MPA)",15
M3,MT,3814,"CONCRETO DOSADO EM CENTRAL DE ALTO DESEMPENHO, A/C 0,4 (75,0 MPA)",15
M3,MT,3815,"CONCRETO DOSADO EM CENTRAL AUTO-ADENSÁVEL (20,00 MPA)",15
M3,MT,3816,"CONCRETO DOSADO EM CENTRAL AUTO-ADENSÁVEL (25,00 MPA)",15
M3,MT,3817,"CONCRETO DOSADO EM CENTRAL AUTO-ADENSÁVEL (30,00 MPA)",15
M3,MT,3818,"CONCRETO DOSADO EM CENTRAL AUTO-ADENSÁVEL (35,00 MPA)",15
M3,MT,3819,"CONCRETO DOSADO EM CENTRAL AUTO-ADENSÁVEL (40,00 MPA)",15
UN,MT,4127,"GANCHO DE ALUMÍNIO C/PORCA, ARRUELA CÔNCAVA E LISA (300 MM / 1/4 "")",15
UN,MT,4128,"GRELHA HEMISFÉRICA DE FERRO FUNDIDO PARA ÁGUAS PLUVIAIS (3 "")",15
UN,MT,4129,"GRELHA HEMISFÉRICA DE FERRO FUNDIDO PARA ÁGUAS PLUVIAIS (4 "")",15
UN,MT,4130,"GRELHA HEMISFÉRICA DE FERRO FUNDIDO PARA ÁGUAS PLUVIAIS (6 "")",15
KG,MT,4131,MASSA PARA CALAFETAÇÃO,15
L,MT,4132,MÁSTIQUE A BASE DE POLIURETANO,15
KG,MT,4133,RESINA PARA EMENDA DE CALHAS DE FIBERGLASS,15
L,MT,4134,SELANTE À BASE DE POLIURETANO,15
L,MP,4135,SELANTE A BASE DE SILICONE,15
UN,MT,4138,TAMPÃO DE FIBROCIMENTO - PARA TELHA TIPO KALHETA E CANALETE 44,15
UN,MT,4139,TIRANTE DE CONTRA-VENTAMENTO PARA TELHA ESTRUTURAL,15
M2,MT,4140,ALÇAPÃO EM ALUMÍNIO,15
UN,MT,4141,"BATENTE DE ALUMÍNIO PARA PORTA - 0,60 X 2,10 (1/2X1X1/8"") ANODIZADO",15
UN,MT,4142,"BATENTE DE FERRO (PERIMETRO: 5,40 M)",15
UN,MT,4143,"BATENTE DE MADEIRA PARA PORTA 1 FL. - ATÉ 0,90M (35 X 120 MM / PEROBA)",15
M,SE,3637,"DEGRAU DE ARENITO (PISO)- COLOCADO (3,0 CM / 30,0 CM)",15
M,SE,3638,"DEGRAU DE GRANITO (PISO)- COLOCADO (3,0 X 30,0 CM / CINZA ANDORINHA)",15
M,SE,3639,"DEGRAU DE MÁRMORE(PISO) - COLOCADO (3,0 X 30,0 CM / ESPIRITO SANTO)",15
UN,MT,4772,"COTOVELO MACHO-FÊMEA FERRO MALEÁVEL GALVANIZADO (2 1/2 "")",15
UN,MT,4773,"COTOVELO MACHO-FÊMEA FERRO MALEÁVEL GALVANIZADO (3 "")",15
UN,MT,4774,"COTOVELO REDUÇÃO FERRO MALEÁVEL GALVANIZADO (3/4 "" / 1/2 "")",15
UN,MT,4775,"COTOVELO REDUÇÃO FERRO MALEÁVEL GALVANIZADO (2 1/2 "" / 2 "")",15
UN,MT,4776,"COTOVELO REDUÇÃO FERRO MALEÁVEL GALVANIZADO (1 "" / 1/2 "")",15
UN,MT,4777,"COTOVELO REDUÇÃO FERRO MALEÁVEL GALVANIZADO (1 "" / 3/4 "")",15
UN,MT,4778,"COTOVELO REDUÇÃO FERRO MALEÁVEL GALVANIZADO (1 1/4 "" / 3/4 "")",15
UN,MT,4779,"COTOVELO REDUÇÃO FERRO MALEÁVEL GALVANIZADO (1 1/4 "" / 1 "")",15
UN,MT,4780,"COTOVELO REDUÇÃO FERRO MALEÁVEL GALVANIZADO (1 1/2 "" / 3/4 "")",15
UN,MT,4781,"COTOVELO REDUÇÃO FERRO MALEÁVEL GALVANIZADO (1 1/2 "" / 1 "")",15
UN,MT,4782,"COTOVELO REDUÇÃO FERRO MALEÁVEL GALVANIZADO (1 1/2 "" / 1 1/4 "")",15
UN,MT,4783,"COTOVELO REDUÇÃO FERRO MALEÁVEL GALVANIZADO (2 "" / 1 1/2 "")",15
UN,MT,4431,"HASTE DE ATERRAMENTO COPPERWELD (2,4 M / 3/4 "")",15
UN,MT,4432,"MASTRO DE FERRO GALVANIZADO PARA PÁRA-RAIOS SIMPLES (3,0 M / 1 1/2 "")",15
UN,MT,4433,"COLETOR SOLAR (PLACA) (COMPRIMENTO: 1,00 M / LARGURA: 1,00 M)",15
UN,MT,4434,"RESERVATÓRIO TÉRMICO (BOILER) PARA AQUECEDOR (CAPACIDADE: 400,00 L)",15
UN,MT,4435,"EXTINTOR COM CARGA GÁS CARBÔNICO (CO2) (QUANTIDADE: 6,00 KG)",15
UN,MT,4436,"EXTINTOR DE ÁGUA PRESSURIZADA (VOLUME: 10,00 L)",15
UN,MT,4437,"EXTINTOR COM CARGA PÓ QUÍMICO (QUANTIDADE: 4,00 KG)",15
UN,MT,4438,"EXTINTOR COM CARGA PÓ QUÍMICO (QUANTIDADE: 8,00 KG)",15
UN,MT,4439,"EXTINTOR COM CARGA PÓ QUÍMICO (QUANTIDADE: 12,00 KG)",15
UN,MT,4440,EXTINTOR COM CARGA PÓ QUÍMICO (QUANTIDADE: BC80),15
UN,MT,4441,"ADAPTADOR PARA MANGUEIRA DE INCÊNDIO EM LATÃO (2 1/2 "" / 2 1/2 "")",15
UN,MT,4442,"ESGUICHO COM ENGATE RÁPIDO PARA MANGUEIRA INCÊNDIO (2 1/2 "" / 5/8 "")",15
UN,MT,4443,"MANGUEIRA COM UNIÃO E ENGATE RÁPIDO PARA INCÊNDIO (30 M / 2 1/2 "")",15
UN,MT,4444,"CHAVE DE ENGATE RÁPIDO PARA CONEXÕES TIPO STORTZ - 1 1/2 E 2 1/2""",15
UN,MT,4445,ABRIGO DE HIDRANTE PARA INCÊNDIO EXTERNO AÇO CARBONO (60 X 90 X 17 CM),15
M3,MT,3820,"CONCRETO DOSADO EM CENTRAL CONVENCIONAL BRITA 1 E 2 (40,0 MPA)",15
KG,MT,3821,POLIESTIRENO EXPANDIDO (ISOPOR) EM PEROLAS,15
M2,MT,3822,"LAJE PRÉ-FABRICADA CONVENCIONAL FORRO 8,0CM / 3,00 M  / 50 KGF/M²",15
M2,MT,3823,"LAJE PRÉ-FABRICADA CONVENCIONAL PISO/COB. 8,0CM / 3,50 M / 150 KGF/M²",15
M2,MT,3824,"LAJE PRÉ-FABRICADA CONVENCIONAL PISO/COB 12,0CM / 3,00 M / 150 KGF/M²",15
M2,MT,3827,"LAJE PRÉ-FABRICADA TRELICA PISO/COB 25+5CM / 4,40 M / 300 KGF/M² / EPS",15
M2,MT,3828,"LAJE PRÉ-FABRICADA TRELICA PISO/COB 30+5CM / 4,70 M / 300 KGF/M² / EPS",15
M2,MT,3829,"PRÉ-LAJE TRELICADA P/ PISO/COB 8+3CM / 2,80 M / 200,00 KGF/M²",15
M2,MT,3830,"PRÉ-LAJE TRELICADA P/ PISO/COB 16+4CM / 4,50 M / 200,00 KGF/M² / EPS",15
M2,MT,3831,"PRÉ-LAJE TRELICADA P/ PISO/COB 24+3CM / 7,00 M / 200,00 KGF/M² / EPS",15
M2,MT,3832,"PRÉ-LAJE TRELICADA P/ PISO/COB 30+3CM / 10,00 M / 200,00 KGF/M² / EPS",15
M2,MT,3833,PAINEL ALVEOLAR DE CONCRETO PROTENDIDO 100 MM,15
M2,MT,3834,PAINEL ALVEOLAR DE CONCRETO PROTENDIDO 150 MM,15
M2,MT,3835,PAINEL ALVEOLAR DE CONCRETO PROTENDIDO 200 MM,15
M2,MT,3836,PAINEL ALVEOLAR DE CONCRETO PROTENDIDO 250 MM,15
UN,MT,4144,"BATENTE DE MADEIRA PARA PORTA 1 FL. - ATE 0,90M (35 X 140 MM / PEROBA)",15
UN,MT,4145,"BATENTE DE MADEIRA PARA PORTA 1 FL. - ATÉ 0,90M (35 X 160 MM / PEROBA)",15
UN,MT,4146,"BATENTE DE MADEIRA PARA PORTA 1 FL. - ATÉ 0,90M (35 X 220 MM / PEROBA)",15
UN,MT,4147,"BATENTE DE MADEIRA PARA PORTA 2 FL. - ATÉ 1,8M (35 X 120 MM / PEROBA)",15
UN,MT,4148,"BATENTE DE MADEIRA PARA PORTA 2 FL. - ATÉ 1,8M (35 X 140 MM / PEROBA)",15
M2,MT,4149,"CAIXILHO DE FERRO BASCULANTE, SOB ENCOMENDA",15
M2,MT,4150,"CAIXILHO DE FERRO DE CORRER, SOB ENCOMENDA",15
M2,MT,4151,"CAIXILHO DE FERRO FIXO, SOB ENCOMENDA",15
M2,MT,4152,"CAIXILHO DE FERRO MAXIM-AR, SOB ENCOMENDA",15
M,MT,4153,"CHAPA DE FERRO DOBRADA PARA BATENTE RETO Nº 16 (1,50 MM / 1 1/4 "")",15
M,MT,4154,CORRIMÃO DE ALUMÍNIO,15
UN,MT,4155,ESCADA CARACOL,15
M,MT,4156,ESCADA TIPO MARINHEIRO EM ALUMÍNIO,15
M2,MT,4158,"GRADIL DE FERRO REQUADRO 1X1/4"" REFORÇO CHATO C/ 100 MM",15
M2,MT,4159,"GRADIL EM ALUMÍNIO ALTURA < 1,20M",15
UN,MT,4786,"CRUZETA DE FERRO MALEÁVEL GALVANIZADO (1 "")",15
UN,MT,4787,"CRUZETA DE FERRO MALEÁVEL GALVANIZADO (1 1/4 "")",15
UN,MT,4788,"CRUZETA DE FERRO MALEÁVEL GALVANIZADO (1 1/2 "")",15
UN,MT,4789,"CRUZETA DE FERRO MALEÁVEL GALVANIZADO (2 "")",15
UN,MT,4790,"CRUZETA DE FERRO MALEÁVEL GALVANIZADO (2 1/2 "")",15
UN,MT,4791,"CRUZETA DE FERRO MALEÁVEL GALVANIZADO (3 "")",15
UN,MT,4792,"CURVA 45 FÊMEA DE FERRO MALEÁVEL GALVANIZADO (1/2 "")",15
UN,MT,4793,"CURVA 45 FÊMEA DE FERRO MALEÁVEL GALVANIZADO (3/4 "")",15
UN,MT,4794,"CURVA 45 FÊMEA DE FERRO MALEÁVEL GALVANIZADO (1 "")",15
UN,MT,4795,"CURVA 45 FÊMEA DE FERRO MALEÁVEL GALVANIZADO (1 1/4 "")",15
UN,MT,4796,"CURVA 45 FÊMEA DE FERRO MALEÁVEL GALVANIZADO (1 1/2 "")",15
UN,MT,4797,"ADAPTADOR SOLDÁVEL LONGO FLANGE LIVRE P/ CAIXA PVC MAR. (25 / 3/4 "")",15
UN,MT,4798,"ADAPTADOR SOLDÁVEL LONGO FLANGE LIVRE P/ CAIXA PVC MAR. (32 / 1 "")",15
UN,MT,4784,"CRUZETA DE FERRO MALEÁVEL GALVANIZADO (1/2 "")",15
UN,MT,4785,"CRUZETA DE FERRO MALEÁVEL GALVANIZADO (3/4 "")",15
UN,MT,4446,"TAMPA EM FERRO FUNDIDO PARA INCÊNDIO NO PASSIEO (0,40 M / 0,60 M)",15
UN,MT,4447,"HIDRANTE COM REGISTRO GLOBO 45° (DIÂMETRO DA SEÇÃO: 2 1/2 "")",15
UN,MT,4448,"REGISTRO GLOBO ANGULAR 45 PARA HIDRANTE (DIÂMETRO DA SEÇÃO: 2 1/2 "")",15
UN,MT,4451,"REGISTRO DE GAVETA (1/2 "" / BRUTO)",15
UN,MT,4452,"REGISTRO DE GAVETA COM CANOPLA - PADRÃO POPULAR (1/2 "")",15
UN,MT,4453,"REGISTRO DE GAVETA COM CANOPLA - PADRÃO POPULAR ( 3/4 "")",15
UN,MT,4454,"REGISTRO DE GAVETA COM CANOPLA - PADRÃO POPULAR (1 "")",15
UN,MT,4455,"REGISTRO DE GAVETA COM CANOPLA - PADRÃO POPULAR (1 1/4 "")",15
UN,MT,4456,"REGISTRO DE GAVETA COM CANOPLA - PADRÃO POPULAR (1 1/2 "")",15
UN,MT,4457,"REGISTRO DE GAVETA (3/4 "" / BRUTO)",15
UN,MT,4458,"REGISTRO DE GAVETA BRUTO PARA ENCAIXE EM TUBO DE PVC SOLDÁVEL (1/2 "")",15
UN,MT,4459,"REGISTRO DE GAVETA 1"" BRUTO",01
UN,MT,4460,"REGISTRO DE GAVETA (1 1/4 "" / BRUTO)",15
UN,MT,4461,"REGISTRO DE GAVETA (1 1/2 "" / BRUTO)",15
UN,MT,4462,"REGISTRO DE GAVETA (2 "" / BRUTO)",15
M2,MT,3837,"PAINEL-LAJE CONCRETO CELULAR AUTOCLAVADO 100 MM / 2,80 M / 0,40 M",15
M2,MT,3838,"PAINEL-LAJE CONCRETO CELULAR AUTOCLAVADO 75,00 MM / 2,80 M / 0,40 M",15
KG,MT,3839,ARGAMASSA A BASE DE CIMENTO COM POLÍMEROS - BICOMPONENTE,15
L,MT,3840,ADESIVO A BASE ACRÍLICA,15
KG,MT,3841,ADESIVO A BASE DE EPÓXI,15
KG,MT,3842,ARGAMASSA A BASE DE POLIÉSTER,15
KG,MT,3843,ARGAMASSA A BASE DE EPÓXI COM POLÍMEROS,15
KG,MT,3844,ARGAMASSA SECA TIPO DRY PACK,15
KG,MT,3845,RESINA A BASE DE EPÓXI PARA INJEÇÃO EM TRINCAS E FISSURAS,15
UN,MT,3847,"CHUMBADOR EXPANSÍVEL (COMPRIMENTO: 4 1/2 "" / DIÂMETRO DO FURO: 3/4 "")",15
UN,OU,3848,"CHUMBADOR PARABOLT 1/2""X3.3/4""",07
UN,MT,3849,"CHUMBADOR EXPANSÍVEL (COMPRIMENTO: 2 1/2 "" / DIÂMETRO DO FURO: 3/8 "")",15
UN,MT,3850,"CHUMBADOR QUÍMICO - AMPOLA (COMPRIMENTO: 120,00 MM / BITOLA: 3/8 "")",15
UN,MT,3851,"CHUMBADOR QUÍMICO - AMPOLA (COMPRIMENTO: 235,00 MM / BITOLA: 3/4 "")",15
M2,MT,4160,"GRADIL OU PORTÃO EM ALUMÍNIO ALTURA > 1,20M",15
UN,MT,4161,"GUARNIÇÃO DE MADEIRA PARA PORTA 1 FL. - ATÉ 0,90M (1 X 5 CM / PEROBA)",15
UN,MT,4162,"GUARNIÇÃO DE MADEIRA PARA PORTA 2 FL. - ATÉ 1,80M (1 X 5 CM / PEROBA)",15
UN,MT,4163,"PORTA ALMOFADADA DE MADEIRA 2 FACES (35 MM / 0,80 X 2,10 M / ANGELIM)",15
UN,MT,4164,"PORTA ALMOFADADA DE MADEIRA 2 FACES (35 MM / 0,90 X 2,10 M / ANGELIM)",15
M2,MT,4165,PORTA DE ALUMÍNIO DE CORRER DUAS FOLHAS,15
M2,MT,4166,PORTA DE CHAPA DE AÇO ONDULADA (GALVANIZADO NATURAL),15
M2,MT,4167,"PORTA DE FERRO CHAPA DUPLA N 14 DE ABRIR 1 FOLHA (1,90 MM)",15
M2,MT,4168,PORTA DE FERRO TIPO CAIXILHO DE ABRIR 1 FOLHA,15
UN,MT,4169,"PORTA DE PVC DE ABRIR, 1 FL. VENEZIANA, CHAVE 2 LADOS (0,70 X 2,10 M)",15
UN,MT,4170,"PORTA DE SANITÁRIO LISA PARA PINTURA (35 MM / 0,60 M / 1,50 M)",15
UN,MT,4171,"PORTA EXTERNA DUAS FOLHAS LISA (35 MM / 1,29 X 2,14 M / CEDRO ARANA)",15
UN,MT,4172,"PORTA EXTERNA DUAS FOLHAS LISA (35 MM / 1,69 X 2,14 M / CEDRO ARANA)",15
UN,MT,4173,"PORTA LISA DE MADEIRA ENCABEÇADA (35 MM / 0,60 M / 2,10 M / IMBUIA)",15
UN,MT,4174,"PORTA LISA DE MADEIRA ENCABEÇADA (35 MM / 0,70 M / 2,10 M / IMBUIA)",15
UN,MT,4799,"ADAPTADOR SOLDÁVEL LONGO FLANGE LIVRE P/ CAIXA PVC MAR. (40 / 1 1/4 "")",15
UN,MT,4800,"ADAPTADOR SOLDÁVEL LONGO FLANGE LIVRE P/ CAIXA PVC MAR. (50 / 1 1/2 "")",15
UN,MT,4801,"ADAPTADOR SOLDÁVEL LONGO FLANGE LIVRE P/ CAIXA PVC MAR. (60 / 2 "")",15
UN,MT,4802,"ADAPTADOR SOLDÁVEL LONGO FLANGE LIVRE P/ CAIXA PVC MAR. (75 / 2 1/2 "")",15
UN,MT,4803,"ADAPTADOR SOLDÁVEL LONGO FLANGE LIVRE P/ CAIXA PVC MAR. (85 / 3 "")",15
UN,MT,4804,"ADAPTADOR SOLDÁVEL LONGO FLANGE LIVRE P/ CAIXA PVC MAR. (110 / 4 "")",15
UN,MT,4805,JOELHO 45° 20MM SOLDAVEL PVC MARROM AGUA FRIA TIGRE,01
UN,MT,4806,JOELHO 45 SOLDÁVEL DE PVC MARROM PARA ÁGUA FRIA (25 MM),15
UN,MT,4807,JOELHO 45° 32MM SOLDAVEL PVC MARROM AGUA FRIA,15
UN,MT,4808,JOELHO 45 SOLDÁVEL DE PVC MARROM PARA ÁGUA FRIA (40 MM),15
UN,MT,4809,JOELHO 45° 50MM SOLDAVEL PVC MARROM AGUA FRIA KRONA,01
UN,MT,4810,JOELHO 45° 60MM SOLDAVEL PVC MARROM AGUA FRIA TIGRE,01
UN,MT,4811,JOELHO 45 SOLDÁVEL DE PVC MARROM PARA ÁGUA FRIA (75 MM),15
UN,MT,4812,JOELHO 45 SOLDÁVEL DE PVC MARROM PARA ÁGUA FRIA (85 MM),15
UN,MT,4813,JOELHO 45 SOLDÁVEL DE PVC MARROM PARA ÁGUA FRIA (110 MM),15
UN,MT,4463,"REGISTRO DE GAVETA (2 1/2 "" / BRUTO)",15
UN,MT,4464,"REGISTRO DE GAVETA (3 "" / BRUTO)",15
UN,MT,4465,"REGISTRO DE GAVETA (4 "" /  BRUTO)",15
UN,MT,4466,"REGISTRO DE PRESSÃO COM CANOPLA - PADRÃO POPULAR (1/2 "")",15
UN,MT,4467,"REGISTRO DE PRESSÃO BRUTO PARA ENCAIXE EM TUBO DE PVC SOLDÁVEL (1/2 "")",15
UN,MT,4468,"REGISTRO DE PRESSÃO COM CANOPLA - PADRÃO POPULAR (3/4 "")",15
UN,MT,4469,"REGISTRO DE PRESSÃO COM CANOPLA - PADRÃO POPULAR (1 "")",15
UN,MT,4470,"VÁLVULA DE DESCARGA DE PVC SEM REGISTRO (1 1/2 "")",15
UN,MT,4471,"VÁLVULA DE DESCARGA METÁLICA COM REGISTRO INTERNO (1 1/2 "")",15
UN,MT,4472,"VÁLVULA DE DESCARGA METÁLICA SEM REGISTRO INTERNO (1 1/2 "")",15
UN,MT,4473,"VÁLVULA DE RETENÇÃO DE BRONZE HORIZONTAL (1/2 "")",15
UN,MT,4474,"VÁLVULA DE RETENÇÃO DE BRONZE PÉ COM CRIVO (1/2 "")",15
UN,MT,4475,"VÁLVULA DE RETENÇÃO DE BRONZE PÉ COM CRIVO (3/4 "")",15
UN,MT,4476,"VÁLVULA DE RETENÇÃO DE BRONZE PÉ COM CRIVO (1 "")",15
UN,MT,4477,"VÁLVULA DE RETENÇÃO DE BRONZE PÉ COM CRIVO (1 1/4 "")",15
UN,MT,3852,"CHUMBADOR QUÍMICO - AMPOLA (COMPRIMENTO: 160,00 MM / BITOLA: 1/2 "")",15
UN,MT,3853,"PARAFUSO PRISIONEIRO (160,00 MM / 1/2 "")",15
UN,MT,3854,"PARAFUSO PRISIONEIRO (130,00 MM / 3/8 "")",15
UN,MT,3875,BLOCO CERÂMICO VAZADO ESTRUTURAL - BLOCO INTEIRO 19 X 19 X 39,15
UN,MT,3876,BLOCO DE CONCRETO APARENTE - BLOCO INTEIRO 9 X 19 X 39,15
UN,MP,3877,BLOCO DE CONCRETO APARENTE - BLOCO INTEIRO 14 X 19 X 39,15
UN,MT,3878,BLOCO DE CONCRETO APARENTE - BLOCO INTEIRO 19 X 19 X 39,15
UN,MT,3879,"BLOCO DE CONCRETO DE VEDAÇÃO - BLOCO INTEIRO 6,7 X 19 X 39",15
UN,MT,3880,BLOCO DE CONCRETO DE VEDAÇÃO - BLOCO INTEIRO 9 X 19 X 39,15
UN,MT,3881,"BLOCO DE CONCRETO DE VEDAÇÃO - BLOCO INTEIRO 11,5 X 19 X 39",15
UN,MT,3882,BLOCO DE CONCRETO DE VEDAÇÃO - BLOCO INTEIRO 14X19X39CM,15
UN,MT,3883,BLOCO DE CONCRETO DE VEDAÇÃO - BLOCO INTEIRO 19 X 19 X 39,15
M2,MT,3884,"BLOCO DE CONCRETO CELULAR AUTOCLAVADO DE VEDAÇÃO 17,5 X 30 X 60",15
M2,MT,3885,BLOCO DE CONCRETO CELULAR AUTOCLAVADO DE VEDAÇÃO 15 X 30 X 60,15
M2,MT,3886,BLOCO DE CONCRETO CELULAR AUTOCLAVADO DE VEDAÇÃO 20 X 30 X 60,15
UN,MT,4175,"PORTA LISA DE MADEIRA ENCABEÇADA (35 MM / 0,80 M / 2,10 M / IMBUIA)",15
UN,MT,4176,"PORTA LISA DE MADEIRA ENCABECADA (35 MM / 0,90 M / 2,10 M / IMBUIA)",15
UN,MT,4177,"PORTA LISA DE MADEIRA NÃO ENCABEÇADA (35 MM / 0,60 X 2,10 M / VIROLA)",15
UN,MT,4178,PORTA PRONTA 60/70/80 CM,15
UN,MT,4179,"PORTÃO ELETRÔNICO COM AUTOMAÇÃO E 2 CONTRÔLES POR UNIDADE 3,0M X 2,4M",15
UN,MT,4180,PORTINHOLA EM CHAPA DE ALUMÍNIO PARA CAVALETE (0.80 M / 0.80 M),15
M2,MT,4181,CAIXILHO DE ALUMÍNIO SOB ENCOMENDA BASCULANTE (ACABAMENTO: NATURAL),15
M2,MT,4182,CAIXILHO DE ALUMÍNIO SOB ENCOMENDA CORRER 2 FL. (ACABAMENTO: NATURAL),15
M2,MT,4183,CAIXILHO DE ALUMÍNIO SOB ENCOMENDA FIXO (TIPO DE ACABAMENTO: NATURAL),15
UN,MT,4186,"CAIXILHO DE ALUMÍNIO PADRÃO VENEZ. 3FL. (1,50 X 1,20 M)",15
UN,MT,4187,"CAIXILHO DE ALUMÍNIO PADRÃO VENEZ. 6FL. (2,00 X 1,20 M)",15
UN,MT,4188,"CAIXILHO DE ALUMÍNIO PADRÃO VENEZ. 3FL. (1,20 X 1,00 M)",15
UN,MT,4189,"CAIXILHO DE ALUMÍNIO PADRÃO BASC., 10 BASC+2 FIXA, V. CAN. 1,2 X 1,2 M",15
M2,MT,4254,VIDRO LAMINADO (10 MM / INCOLOR / LISO),15
KG,MT,4278,ARGAMASSA PRÉ-FABRICADA PARA REJUNTAMENTO DE PEDRAS NATURAIS,15
UN,MT,4814,"JOELHO 90 SOLDÁVEL PVC AZUL C/ BUCHA DE LATÃO (20 MM / 1/2"") - INATIVO",15
UN,MT,4815,"JOELHO 90 SOLDÁVEL PVC AZUL C/ BUCHA DE LATÃO (25 MM / 3/4"") - INATIVO",15
UN,MT,4816,"JOELHO 90 SOLDÁVEL DE PVC AZUL E COM BUCHA DE LATÃO (25MM/1/2"") - INAT",15
UN,MT,4817,"JOELHO 90° BUCHA DE LATAO 32MMX3/4"" SOLDAVEL PVC AZUL AGUA FRIA KRONA",01
UN,MT,4818,JOELHO 90 SOLDÁVEL DE PVC MARROM PARA ÁGUA FRIA (20 MM),15
UN,MT,4819,JOELHO 90 SOLDÁVEL DE PVC MARROM PARA ÁGUA FRIA (25 MM),15
UN,MT,4820,JOELHO 90 SOLDÁVEL DE PVC MARROM PARA ÁGUA FRIA (32 MM),15
UN,MT,4821,JOELHO 90 SOLDÁVEL DE PVC MARROM PARA ÁGUA FRIA (40 MM),15
UN,MT,4822,JOELHO 90 SOLDÁVEL DE PVC MARROM PARA ÁGUA FRIA (50 MM),15
UN,MT,4823,JOELHO 90 SOLDÁVEL DE PVC MARROM PARA ÁGUA FRIA (60 MM),15
UN,MT,4824,JOELHO 90 SOLDÁVEL DE PVC MARROM PARA ÁGUA FRIA (75 MM),15
UN,MT,4825,JOELHO 90 SOLDÁVEL DE PVC MARROM PARA ÁGUA FRIA (85 MM),15
UN,MT,4826,JOELHO 90 SOLDÁVEL DE PVC MARROM PARA ÁGUA FRIA (110 MM),15
UN,MP,4827,"JOELHO 90 SOLDÁVEL DE PVC MARROM E COM ROSCA E REDUCAO (25 MM / 1/2 "")",15
UN,MT,4828,"JOELHO 90 SOLDÁVEL DE PVC MARROM E COM ROSCA E REDUCAO (32 MM / 3/4 "")",15
UN,MT,4478,"VÁLVULA DE RETENÇÃO DE BRONZE PÉ COM CRIVO (1 1/2 "")",15
UN,MT,4479,"VÁLVULA DE RETENÇÃO DE BRONZE PÉ COM CRIVO (2 "")",15
UN,MT,4480,"VÁLVULA DE RETENÇÃO DE BRONZE PÉ COM CRIVO (2 1/2 "")",15
UN,MT,4481,"VÁLVULA DE RETENÇÃO DE BRONZE PÉ COM CRIVO (3 "")",15
UN,MT,4482,"VÁLVULA DE RETENÇÃO DE BRONZE PÉ COM CRIVO (4 "")",15
UN,MT,4483,"VÁLVULA DE RETENÇÃO DE BRONZE HORIZONTAL (3/4 "")",15
UN,MT,4484,"VÁLVULA DE RETENÇÃO DE BRONZE HORIZONTAL (1 "")",15
UN,MT,4485,"VÁLVULA DE RETENÇÃO DE BRONZE HORIZONTAL (1 1/4 "")",15
UN,MP,4486,"VÁLVULA DE RETENÇÃO DE BRONZE HORIZONTAL (1 1/2 "")",15
UN,MT,4487,"VÁLVULA DE RETENÇÃO DE BRONZE HORIZONTAL (2 "")",15
UN,MT,4489,"VÁLVULA DE RETENÇÃO DE BRONZE HORIZONTAL (3 "")",15
UN,MT,4490,"VÁLVULA DE RETENÇÃO DE BRONZE HORIZONTAL (4 "")",15
UN,MT,4491,"REGISTRO DE ESFERA DE PVC ROSCÁVEL (1 1/4 "")",15
UN,MP,4495,REGISTRO DE ESFERA DE PVC SOLDÁVEL (25 MM),15
UN,MT,4496,REGISTRO DE ESFERA DE PVC SOLDÁVEL (32 MM),15
UN,MT,4497,REGISTRO DE ESFERA DE PVC SOLDÁVEL (40 MM),15
M2,MT,3887,BLOCO DE CONCRETO CELULAR AUTOCLAVADO DE VEDAÇÃO 25 X 30 X 60,15
M2,MT,3888,BLOCO DE CONCRETO CELULAR AUTOCLAVADO DE VEDAÇÃO 30 X 30 X 60,15
